time,open,high,low,close,ma5h,ma5l,ma10h,ma10l,ma50,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,trend,trendbbl,trendbbm,trendbbmdir,trendbbu,extremeSellD,extremeBuyD,extremeSellA,extremeBuyA,extremeSellB,extremeBuyB,extremeSellAll,extremeBuyAll,extremeSell,extremeBuy,tpwSell,tpwBuy,MHVSell,MHVBuy,CSASell,CSABuy,CSAKSell,CSAKBuy,momentumSell,momentumBuy,reEntySell,reEntyBuy
2013-01-09,1.30822,1.30956,1.30362,1.30531,1.3111020000000002,1.3039,1.314216909090909,1.3060000000000003,,,,,,,-9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-10,1.3053,1.32791,1.30385,1.32722,1.3168666666666666,1.3040373333333333,1.3161916363636363,1.3050261818181816,,,,,,,-9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-11,1.32723,1.33653,1.32479,1.33424,1.3242386666666666,1.3108786666666667,1.3196483636363636,1.3081698181818182,,,,,,,-9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-13,1.33605,1.33685,1.33498,1.33579,1.32981,1.3199006666666666,1.322925272727273,1.3130314545454544,,,,,,,-9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-14,1.33579,1.34037,1.33356,1.33769,1.334948,1.3262273333333332,1.3265716363636364,1.317338181818182,,,,,,,-9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-15,1.33771,1.33933,1.3272,1.33088,1.3379766666666668,1.328574,1.3298387272727274,1.320163818181818,,,,,,,-9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-16,1.33089,1.33246,1.32565,1.32845,1.3367306666666667,1.3288319999999998,1.3314847272727273,1.3222534545454545,,,,,,,-9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-17,1.32845,1.33873,1.32696,1.33738,1.3372713333333333,1.3280733333333332,1.3338427272727273,1.3241096363636364,,,,,,,-9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-18,1.33737,1.3398,1.32803,1.3318,1.338022,1.3275266666666667,1.3358350909090908,1.3257892727272726,,,,,,,-9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-20,1.33107,1.33237,1.33066,1.33176,1.3360993333333335,1.32832,1.3359847272727272,1.3274674545454546,,1.2991553064453547,1.3219345,1.3447136935546453,3.4463422438320968,0.7156683022256587,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
