time,open,high,low,close
2013-10-03,1.35898,1.36459,1.35804,1.36228
2013-10-04,1.36228,1.36316,1.3538,1.35569
2013-10-06,1.35629,1.35713,1.35605,1.35685
2013-10-07,1.35685,1.35909,1.35425,1.35808
2013-10-08,1.35808,1.36071,1.35576,1.3599
2013-10-09,1.3599,1.36005,1.34855,1.35186
2013-10-10,1.35183,1.35457,1.34877,1.35264
2013-10-11,1.35264,1.35816,1.35197,1.35406
2013-10-13,1.35595,1.35629,1.3551,1.35551
2013-10-14,1.35551,1.35975,1.3545,1.35565
2013-10-15,1.35566,1.35709,1.3479,1.35205
2013-10-16,1.35206,1.35675,1.34727,1.35216
2013-10-17,1.35216,1.36818,1.35158,1.36682
2013-10-18,1.36683,1.37037,1.36592,1.36844
2013-10-20,1.3684,1.36884,1.3681,1.36811
2013-10-21,1.36811,1.36884,1.36509,1.36721
2013-10-22,1.36721,1.37919,1.36623,1.37781
2013-10-23,1.3778,1.37928,1.3741,1.37785
2013-10-24,1.37785,1.38252,1.3764,1.38017
2013-10-25,1.38016,1.38321,1.3774,1.38019
2013-10-27,1.38059,1.38105,1.38001,1.38045
2013-10-28,1.38045,1.38174,1.3775,1.3788
2013-10-29,1.3788,1.3813,1.37362,1.37426
2013-10-30,1.37427,1.37847,1.3696,1.37235
2013-10-31,1.37234,1.37386,1.3575,1.35791
2013-11-01,1.35787,1.35815,1.34795,1.34853
2013-11-03,1.34866,1.34967,1.34839,1.34921
2013-11-04,1.34919,1.35243,1.3442,1.35153
2013-11-05,1.35152,1.35224,1.3449,1.34719
2013-11-06,1.34719,1.35471,1.34675,1.35175
2013-11-07,1.35173,1.35287,1.3295,1.34087
2013-11-08,1.34087,1.34377,1.33178,1.33648
2013-11-10,1.33572,1.3362,1.33446,1.33464
2013-11-11,1.33465,1.34162,1.33465,1.34075
2013-11-12,1.34076,1.34561,1.3359,1.34375
2013-11-13,1.34375,1.34972,1.33898,1.34841
2013-11-14,1.34842,1.34941,1.34179,1.34459
2013-11-15,1.34458,1.35052,1.34322,1.34941
2013-11-17,1.3496,1.34986,1.34801,1.34821
2013-11-18,1.34821,1.35415,1.34745,1.35017
2013-11-19,1.35014,1.35774,1.34872,1.3564
2013-11-20,1.3564,1.35641,1.34147,1.34302
2013-11-21,1.34302,1.34864,1.33992,1.3471
2013-11-22,1.3471,1.35569,1.34623,1.35564
2013-11-24,1.35486,1.35599,1.35476,1.35512
2013-11-25,1.35513,1.35563,1.349,1.35334
2013-11-26,1.35333,1.35747,1.35205,1.35667
2013-11-27,1.35669,1.36128,1.35577,1.35731
2013-11-28,1.35733,1.3618,1.35636,1.36028
2013-11-29,1.36026,1.36216,1.358,1.35903
2013-12-01,1.35848,1.35921,1.35814,1.35848
2013-12-02,1.35848,1.36157,1.35255,1.35418
2013-12-03,1.3542,1.36137,1.3524,1.35917
2013-12-04,1.35917,1.36051,1.35283,1.35851
2013-12-05,1.35852,1.36772,1.35431,1.36687
2013-12-06,1.36688,1.37063,1.36124,1.37035
2013-12-08,1.37143,1.37211,1.37043,1.37065
2013-12-09,1.37064,1.37457,1.36942,1.3737
2013-12-10,1.3737,1.37948,1.37343,1.37642
2013-12-11,1.37641,1.38107,1.37405,1.37849
2013-12-12,1.3785,1.38032,1.3737,1.37496
2013-12-13,1.37496,1.37691,1.37088,1.374
2013-12-15,1.3729,1.37418,1.37286,1.37377
2013-12-16,1.37378,1.37983,1.37318,1.37605
2013-12-17,1.37605,1.37821,1.37229,1.37692
2013-12-18,1.37691,1.38112,1.36675,1.36825
2013-12-19,1.36823,1.36938,1.3649,1.36556
2013-12-20,1.36557,1.37091,1.36248,1.36703
2013-12-22,1.36724,1.36776,1.36672,1.36776
2013-12-23,1.36772,1.37166,1.36725,1.36971
2013-12-24,1.3697,1.36977,1.36549,1.3672
2013-12-25,1.36725,1.36831,1.36606,1.3669
2013-12-26,1.36689,1.37015,1.36653,1.36946
2013-12-27,1.36947,1.38932,1.36925,1.37478
2013-12-29,1.37558,1.37694,1.3746,1.37513
2013-12-30,1.37513,1.38189,1.3728,1.38081
2013-12-31,1.38081,1.38123,1.3741,1.3741
2014-01-01,1.37553,1.3772,1.3739,1.37653
2014-01-02,1.37653,1.37746,1.36294,1.36653
2014-01-03,1.36653,1.36719,1.3582,1.35874
2014-01-05,1.35935,1.36005,1.3589,1.35955
2014-01-06,1.35957,1.36527,1.35715,1.36296
2014-01-07,1.36297,1.36562,1.35965,1.3617
2014-01-08,1.3617,1.3635,1.35529,1.35715
2014-01-09,1.35714,1.3633,1.3548,1.36062
2014-01-10,1.36062,1.36869,1.3571,1.36661
2014-01-12,1.36783,1.36786,1.36643,1.3672
2014-01-13,1.36719,1.36847,1.3637,1.36686
2014-01-14,1.36684,1.36993,1.3649,1.36671
2014-01-15,1.3667,1.36731,1.35814,1.35995
2014-01-16,1.35994,1.36493,1.3583,1.36154
2014-01-17,1.36153,1.36209,1.35169,1.35389
2014-01-19,1.35373,1.35375,1.35248,1.3527
2014-01-20,1.35272,1.35679,1.35075,1.35459
2014-01-21,1.35457,1.35687,1.35164,1.35572
2014-01-22,1.35571,1.35835,1.35345,1.35439
2014-01-23,1.35439,1.36983,1.35303,1.36882
2014-01-24,1.36882,1.37394,1.36627,1.36737
2014-01-26,1.36773,1.36906,1.36731,1.36867
2014-01-27,1.36868,1.37166,1.36531,1.36741
