timestamp,open,high,low,close,volume
2022-06-08 01:15:00,30992.05000,31138.59000,30933.11000,31112.63000,864
2022-06-08 01:00:00,31079.67000,31092.83000,30738.51000,30992.04000,1986
2022-06-08 00:45:00,31161.50000,31208.82000,31062.76000,31079.67000,394
2022-06-08 00:30:00,31276.40000,31327.22000,31156.00000,31161.50000,865
2022-06-08 00:15:00,31260.95000,31299.32000,31137.02000,31276.40000,731
2022-06-08 00:00:00,31125.32000,31264.65000,31050.83000,31260.01000,1366
2022-06-07 23:45:00,31302.00000,31353.47000,31096.33000,31125.33000,640
2022-06-07 23:30:00,31127.49000,31386.46000,31127.49000,31302.00000,823
2022-06-07 23:15:00,31179.26000,31349.98000,30930.00000,31127.50000,1565
2022-06-07 23:00:00,31259.96000,31332.53000,30914.26000,31179.25000,3366
2022-06-07 22:45:00,31136.08000,31568.00000,30300.00000,31259.96000,7328
2022-06-07 22:30:00,31382.78000,31395.15000,31077.02000,31136.09000,1385
2022-06-07 22:15:00,31430.00000,31466.35000,31322.33000,31382.78000,880
2022-06-07 22:00:00,31401.21000,31490.00000,31391.19000,31430.00000,708
2022-06-07 21:45:00,31424.40000,31482.69000,31361.36000,31401.21000,548
2022-06-07 21:30:00,31301.84000,31454.00000,31271.10000,31424.39000,772
2022-06-07 21:15:00,31435.23000,31547.56000,31296.66000,31301.84000,1233
2022-06-07 21:00:00,31350.33000,31500.00000,31349.80000,31435.22000,1016
2022-06-07 20:45:00,31374.58000,31429.99000,31281.00000,31350.33000,996
2022-06-07 20:30:00,31347.74000,31473.22000,31268.01000,31374.58000,1994
2022-06-07 20:15:00,31262.70000,31589.60000,31262.69000,31347.74000,2472
2022-06-07 20:00:00,31059.71000,31521.67000,31048.99000,31262.69000,3062
2022-06-07 19:45:00,30924.42000,31429.85000,30893.30000,31059.71000,4558
2022-06-07 19:30:00,30411.76000,30950.00000,30407.91000,30924.41000,2546
2022-06-07 19:15:00,30427.21000,30445.06000,30365.23000,30411.76000,699
2022-06-07 19:00:00,30193.42000,30460.72000,30189.78000,30427.20000,1402
2022-06-07 18:45:00,30171.97000,30209.03000,30131.88000,30193.41000,431
2022-06-07 18:30:00,30200.38000,30268.65000,30165.43000,30171.97000,710
