time,open,high,low,close
2012-12-28 16:00:00,1.32173,1.32217,1.32155,1.32216
2012-12-28 20:00:00,1.32214,1.32235,1.3214,1.3214
2012-12-30 20:00:00,1.32091,1.32322,1.32091,1.32259
2012-12-31 00:00:00,1.32259,1.32344,1.32047,1.32136
2012-12-31 04:00:00,1.32135,1.32142,1.31823,1.31906
2012-12-31 08:00:00,1.3191,1.31978,1.31738,1.31828
2012-12-31 12:00:00,1.31826,1.32279,1.31804,1.31819
2012-12-31 16:00:00,1.31818,1.32093,1.31746,1.31957
2012-12-31 20:00:00,1.31957,1.32051,1.31843,1.3195
2013-01-01 00:00:00,1.3195,1.31956,1.31942,1.31954
2013-01-01 20:00:00,1.31936,1.32197,1.31866,1.31977
2013-01-02 00:00:00,1.31975,1.32991,1.31914,1.3286
2013-01-02 04:00:00,1.3286,1.32931,1.32525,1.32732
2013-01-02 08:00:00,1.3273,1.3291,1.32315,1.32489
2013-01-02 12:00:00,1.32492,1.32797,1.3237,1.32394
2013-01-02 16:00:00,1.32392,1.32422,1.3157,1.31754
2013-01-02 20:00:00,1.31754,1.31901,1.31753,1.31833
2013-01-03 00:00:00,1.31836,1.31887,1.31237,1.31385
2013-01-03 04:00:00,1.31383,1.31526,1.3132,1.31344
2013-01-03 08:00:00,1.31345,1.31695,1.3094,1.31129
2013-01-03 12:00:00,1.31127,1.31153,1.3082,1.30949
2013-01-03 16:00:00,1.3095,1.31202,1.30576,1.30611
2013-01-03 20:00:00,1.30612,1.30646,1.30222,1.30243
2013-01-04 00:00:00,1.3024,1.30402,1.30189,1.30301
2013-01-04 04:00:00,1.30302,1.30503,1.30072,1.30077
2013-01-04 08:00:00,1.30077,1.3028,1.29971,1.30025
2013-01-04 12:00:00,1.30025,1.30638,1.30018,1.30442
2013-01-04 16:00:00,1.30442,1.30765,1.30348,1.30713
2013-01-04 20:00:00,1.30714,1.30892,1.30673,1.30678
2013-01-06 20:00:00,1.30745,1.30792,1.30655,1.30676
2013-01-07 00:00:00,1.30678,1.30681,1.30426,1.30541
2013-01-07 04:00:00,1.30541,1.30568,1.30283,1.30338
2013-01-07 08:00:00,1.30339,1.30483,1.30165,1.3033
2013-01-07 12:00:00,1.3033,1.31005,1.3022,1.3098
2013-01-07 16:00:00,1.3098,1.31192,1.3095,1.31122
2013-01-07 20:00:00,1.31121,1.31275,1.31054,1.31236
2013-01-08 00:00:00,1.31236,1.31393,1.31035,1.31232
2013-01-08 04:00:00,1.31234,1.31309,1.31049,1.31145
2013-01-08 08:00:00,1.31143,1.3132,1.31025,1.31231
2013-01-08 12:00:00,1.31233,1.31263,1.30624,1.3065
2013-01-08 16:00:00,1.30655,1.30858,1.30566,1.30826
2013-01-08 20:00:00,1.30826,1.30862,1.30762,1.30825
2013-01-09 00:00:00,1.30822,1.30903,1.30673,1.30736
